dataset,Hyperparam - inputs,Hyperparam - hidden_units,Hyperparam - d_out,Hyperparam - sigma,Hyperparam - dropout,Hyperparam - first_omega_0,Hyperparam - hidden_omega_0,Hyperparam - l2
CHEMBL1862_Ki.csv,2237,"[1024, 64, 64, 128]",88,0.013159935,0.161293542,0.934114192,0.713226277,0.003663653
CHEMBL1871_Ki.csv,2084,"[64, 256, 128, 64]",65,7.408548786,0.161533895,0.782325521,0.798451738,0.001581768
CHEMBL2034_Ki.csv,2169,"[64, 1024, 512, 128]",32,0.087195243,0.140124679,0.987078169,0.150810919,0.002298974
CHEMBL2047_EC50.csv,2144,"[1024, 512, 64, 1024]",75,3.667462005,0.098716631,0.859751302,0.977386866,0.003936558
CHEMBL204_Ki.csv,2277,"[512, 64, 128, 512]",26,20.79579579,0.007560382,0.492817946,0.078068471,0.000656781
CHEMBL2147_Ki.csv,2246,"[128, 256, 512, 1024]",120,0.027523756,0.012837844,0.688290592,0.523137078,7.61E-07
CHEMBL214_Ki.csv,2242,"[1024, 64, 128, 64]",57,4.962993872,0.054188269,0.334546473,0.237226937,0.000334003
CHEMBL218_EC50.csv,2212,"[64, 128, 128, 512]",106,0.736980513,0.040926377,0.87275684,0.750555724,0.000396159
CHEMBL219_Ki.csv,2192,"[512, 512, 256, 64]",8,15.24224848,0.034263577,0.991379514,0.164942695,0.00140615
CHEMBL228_Ki.csv,2205,"[64, 64, 64, 128]",40,0.010705014,0.061152939,0.647047196,0.768687962,0.001004874
CHEMBL231_Ki.csv,2171,"[512, 1024, 1024, 256]",42,2.939236304,0.011081395,0.742903584,0.870318474,0.007678669
CHEMBL233_Ki.csv,2206,"[512, 64, 64, 1024]",10,8.268835149,0.114217073,0.544568438,0.853889795,0.002937448
CHEMBL234_Ki.csv,2267,"[512, 1024, 1024, 64]",117,19.24840874,0.415780749,0.87463312,0.147182348,0.000929614
CHEMBL235_EC50.csv,2237,"[256, 128, 128, 256]",16,0.285650768,0.046242476,0.458297744,0.310722895,0.001440986
CHEMBL236_Ki.csv,2162,"[512, 256, 1024, 128]",108,0.422009011,0.123923521,0.934111468,0.578831019,0.00078988
CHEMBL237_EC50.csv,2117,"[128, 64, 128, 512]",14,0.24445561,0.05997879,0.717667979,0.246449649,0.001453098
CHEMBL237_Ki.csv,2201,"[512, 512, 64, 512]",12,0.666912638,0.065975388,0.958048208,0.071249941,0.001293014
CHEMBL238_Ki.csv,2228,"[256, 256, 512, 256]",91,1.694136625,0.066882557,0.9134703,0.329707066,2.23E-05
CHEMBL239_EC50.csv,2194,"[64, 256, 128, 1024]",4,0.395588248,0.10879359,0.582434073,0.671014889,0.000641133
CHEMBL244_Ki.csv,2270,"[512, 64, 128, 64]",22,3.349797808,0.034416641,0.752357768,0.620369375,0.003618088
CHEMBL262_Ki.csv,2254,"[64, 256, 512, 128]",80,0.236424244,0.031388187,0.631531319,0.18296127,0.000673875
CHEMBL264_Ki.csv,2202,"[1024, 64, 1024, 1024]",96,3.630809246,0.049811993,0.848940413,0.152947699,0.001769441
CHEMBL2835_Ki.csv,2005,"[64, 64, 128, 256]",25,0.062491421,0.064609792,0.948297259,0.338862652,0.000154063
CHEMBL287_Ki.csv,2226,"[1024, 64, 1024, 256]",23,3.986772245,0.0353346,0.686461211,0.175765299,0.001308304
CHEMBL2971_Ki.csv,2177,"[64, 1024, 512, 1024]",58,0.071611593,0.012098084,0.338194178,0.339681335,0.005010952
CHEMBL3979_EC50.csv,2160,"[64, 512, 128, 64]",39,0.010776364,0.081070302,0.404993117,0.378469007,0.003539568
CHEMBL4005_Ki.csv,2154,"[64, 1024, 1024, 128]",80,1.900083709,0.061582758,0.353902621,0.075265893,0.003745754
CHEMBL4203_Ki.csv,2249,"[64, 256, 1024, 1024]",102,0.010638266,0.074929718,0.608236479,0.113725382,0.004484687
CHEMBL4616_EC50.csv,2058,"[256, 64, 512, 1024]",24,0.190603671,0.127602147,0.159068223,0.064532064,0.002348866
CHEMBL4792_Ki.csv,2190,"[128, 64, 512, 64]",85,1.683009911,0.026595881,0.166819176,0.07267499,0.000229378